0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50408435058160760978,	 0.00408435058160766529,	 0.79828193697560589914,	 2.82519558929248537638,	 3.53909497187936317175,	 85528.00514483219012618065,	 85534.26774144217779394239,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.08335523843173930914,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.40416776192158709868,	 0.05000000000000000278,	 0.00152625200643169531,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50407108456679039499,	 0.00407108456679045050,	 0.79823992067161664288,	 2.83107287093920367838,	 3.54664405728696019438,	 85262.99299045067164115608,	 85269.28233248522155918181,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.14399925625587073341,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.40719996281279358108,	 0.05000000000000000278,	 0.00152952771287890514,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50405796891911791580,	 0.00405796891911797131,	 0.79819838169953982732,	 2.83716844496574305268,	 3.55446529335825989193,	 85001.26337576853984501213,	 85007.58048752938339021057,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.20679772987472233581,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.41033988649373620561,	 0.05000000000000000278,	 0.00153292064654893538,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50404500420500364388,	 0.00404500420500369939,	 0.79815732181603793460,	 2.84347996672468550372,	 3.56255576313570498925,	 84742.81887198978802189231,	 84749.16477377251430880278,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.27172759110813871075,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.41358637955540689113,	 0.04999999999999999584,	 0.00153642955162721284,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50403219091216933112,	 0.00403219091216938663,	 0.79811674252880437930,	 2.85000505293859252021,	 3.57091250073072430382,	 84487.66044496341783087701,	 84494.03615300735691562295,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.33876538138000000799,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.41693826906900000040,	 0.05000000000000000278,	 0.00154005315113973505,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50401952945002115314,	 0.00401952945002120865,	 0.79807664509779541184,	 2.85674123003782254315,	 3.57953242659764914180,	 84235.78740401295362971723,	 84242.19393020948336925358,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.40788673806812880684,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.42039433690340666239,	 0.05000000000000000971,	 0.00154379011903862289,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50400702014980258703,	 0.00400702014980264254,	 0.79803703053574592818,	 2.86368588542158342136,	 3.58841228645631415972,	 83987.19742690313432831317,	 83993.63577827192784752697,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.47906590975462748361,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.42395329548773141859,	 0.05000000000000000278,	 0.00154763905385976144,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50399466326512620817,	 0.00399466326512626368,	 0.79799789960988953830,	 2.87083622085278555858,	 3.59754859286750861003,	 83741.88660947827156633139,	 83748.35778741729154717177,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.55227529244704953726,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.42761376462235256568,	 0.05000000000000000278,	 0.00155159845352232100,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50398245897244731140,	 0.00398245897244736691,	 0.79795925284349178419,	 2.87818920732271044116,	 3.60693756863701153748,	 83499.84943544903944712132,	 83506.35443476105865556747,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.62748498025962007318,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.43137424901298104807,	 0.05000000000000000278,	 0.00155566669091550236,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50397040737115750275,	 0.00397040737115755826,	 0.79792109051617710058,	 2.88574153703428626372,	 3.61657508660097315456,	 83261.07873543362074997276,	 83267.61854311212664470077,	 0.00000000000000000000,	 0.00000000000000000000,	 -28.70466228734327529537,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.43523311436716394240,	 0.05000000000000000278,	 0.00155984198792372803,	 0.00000000000000000000,	 0.00000000000000000000
